ULTIMA ATUALIZACAO;05/12/2020 02:00
NUMERO_CONTRATO;UNIDADE_GESTORA;CONTRATADA;CNPJ;OBJETO;DATA_ASSINATURA;DATA_PUBLICACAO;INICIO_VIGENCIA;FIM_VIGENCIA;MODALIDADE;NUMERO_LICITACAO;PROCESSO
"CT-CT/20160090";"Senado Federal";"JDC ENGENHARIA LTDA.";"08.336.756/0001-18";"Contratação de empresa especializada para o fornecimento de insumos necessários e a prestação de serviços comuns de engenharia, visando a reforma e pequenas obras no Complexo Arquitetônico do SENADO FEDERAL - reforma no Gabinete do Senador Romero Jucá.";"07/07/2016";"11/07/2016";"07/07/2016";"";"Ata Reg. Preços";"00992015";"200.008503/2016-42"
"CT-CT/20160091";"Senado Federal";"JDC ENGENHARIA LTDA.";"08.336.756/0001-18";"Contratação de empresa especializada para o fornecimento de insumos necessários e a prestação de serviços comuns de engenharia, visando a reforma e pequenas obras no Complexo Arquitetônico do SENADO FEDERAL - reforma nos Gabinetes dos Senadores Eduardo Amorim, José Serra, nas instalações da Secretaria Geral da Mesa e no banheiro do plenário.";"07/07/2016";"11/07/2016";"07/07/2016";"";"Ata Reg. Preços";"00992015";"200.002694/2016-39"
"CT-CT/20160093";"Senado Federal";"JDC ENGENHARIA LTDA.";"08.336.756/0001-18";"Contratação de empresa especializada para o fornecimento de insumos necessários e a prestação de serviços comuns de engenharia, visando a reforma e pequenas obras no Complexo Arquitetônico do SENADO FEDERAL - reforma nos gabinetes de nº 02, 04, 06, 08, 10, 11, 12, 13, 14 e 15 da Consultoria Legislativa - CONLEG.";"12/07/2016";"14/07/2016";"12/07/2016";"";"Ata Reg. Preços";"00992015";"200.009147/2016-84"
"CT-CT/20160100";"Senado Federal";"JDC ENGENHARIA LTDA.";"08.336.756/0001-18";"Contratação de empresa especializada para o fornecimento de insumos necessários e a prestação de serviços comuns de engenharia, visando a reforma e pequenas obras no Complexo Arquitetônico do SENADO FEDERAL - reforma nas instalações do Plenário nº 15 das Comissões.";"18/07/2016";"20/07/2016";"18/07/2016";"";"Ata Reg. Preços";"00992015";"200.009467/2016-34"
"CT-CT/20160019";"Senado Federal";"MAISDOISX TECNOLOGIA EM DOBRO LTDA.";"03.369.656/0001-74";"Contratação de empresa especializada para o fornecimento de servidores de rede em rack e os respectivos racks para a Secretaria de Tecnologia da Informação do SENADO FEDERAL - STI/SF - com instalação dos equipamentos e serviço de assistência técnica, durante o período de 60 (sessenta) meses consecutivos.";"01/02/2016";"02/02/2016";"01/02/2016";"01/09/2021";"Acionamento de ARP";"0001102015";"200.004734/2015-04"
"CT-CT/20160117";"Senado Federal";"MAISDOISX TECNOLOGIA EM DOBRO LTDA.";"03.369.656/0001-74";"Contratação de empresa especializada para o fornecimento de servidores de rede em rack e os respectivos racks para a Secretaria de Tecnologia da Informação do SENADO FEDERAL - PRDSTI/SF - incluindo a instalação dos equipamentos, garantia de funcionamento e os serviços de assistência técnica, durante o período de 60 (sessenta) meses consecutivos.";"12/09/2016";"14/09/2016";"12/09/2016";"27/11/2021";"Acionamento de ARP";"0001102015";"200.019500/2015-53"
"CT-CT/20160138";"Senado Federal";"MAISDOISX TECNOLOGIA EM DOBRO LTDA.";"03.369.656/0001-74";"Contratação de empresa especializada para o fornecimento de servidores de rede em rack e os respectivos racks para a Secretaria de Tecnologia da Informação do SENADO FEDERAL - PRDSTI/SF - com instalação dos equipamentos e serviço de assistência técnica, durante o período de 60 (sessenta) meses consecutivos.";"19/10/2016";"21/10/2016";"19/10/2016";"25/12/2021";"Acionamento de ARP";"0001102015";"200.019500/2015-53"
"PI-PI/20160004";"Senado Federal";"MINISTÉRIO DA DEFESA";"03.277.610/0001-25";"Estabelecer a cooperação técnico-científica e cultural, o intercâmbio de conhecimentos, informações e experiências, visando à formação, ao aperfeiçoamento e à especialização técnica de recursos humanos, bem como ao desenvolvimento institucional, mediante a implementação de ações, programas, projetos e atividades complementares de interesses comuns entre o SENADO FEDERAL/ILB e o Ministério da Defesa - MD.";"23/09/2016";"27/09/2016";"27/09/2016";"26/09/2021";"Não se Aplica";"";"200.005638/2015-75"
"CT-CT/20160006";"Senado Federal";"MULTIDATA LTDA";"02.743.744/0001-21";"Contratação de empresa especializada para a prestação de serviços de manutenção corretiva no Circuito Fechado de Televisão - CFTV - da Secretaria de Polícia do SENADO FEDERAL - SPSF - que utiliza o Sistema Endura, da marca Pelco, à medida que houver necessidade, com fornecimento de componentes/peças novas e originais, incluindo suporte técnico para operação assistida em CFTV, durante o período de 20 (vinte) meses consecutivos.";"18/01/2016";"20/01/2016";"18/01/2016";"17/01/2021";"Pregão Eletrônico";"0000062016";"200.010537/2015-16"
"CT-CT/20160166";"Senado Federal";"NAVISYSTEM IMPORTAÇÃO LTDA - EPP.";"08.395.059/0001-38";"Contratação de empresa especializada para o fornecimento e instalação de scanners planetários, com garantia de fabricação de 48 (quarenta e oito) meses, para a Secretaria de Gestão de Informação e Documentação do SENADO FEDERAL - SGIDOC/SF.";"29/12/2016";"02/01/2017";"29/12/2016";"19/03/2021";"Pregão Eletrônico";"0001262016";"200.016573/2015-93"
"CT-CT/20160106";"Senado Federal";"NETSAFE CORP LTDA";"03.476.184/0002-30";"Contratação de empresa especializada para o fornecimento de solução de controle de acesso à INTERNET, com dispositivos físicos (hardware) redundantes com os programas de filtragem de conteúdo WEB e verificação de existência de malware’s em páginas WEB, apresentando garantia de funcionamento de 48 (quarenta e oito) meses, contemplando os serviços de instalação, serviço de suporte técnico pelo período de 48 (quarenta e oito) meses consecutivos e treinamento na solução fornecida, para o SENADO FEDERAL.";"12/08/2016";"16/08/2016";"12/08/2016";"20/11/2020";"Ata Reg. Preços";"0000632015";"200.011358/2014-15"
"CS-PU/20160002";"Senado Federal";"OI MÓVEL S.A.";"05.423.963/0001-11";"Permissão de Uso de espaço físico localizado no Complexo Arquitetônico e no subsolo das Residências Oficiais do SENADO FEDERAL, visando a instalação de três (03) novas Unidades de Rádio Remotos - RRUs - que constituem o Sistema de Telefonia Móvel 4G/LTE Indoor, da empresa OI Móvel S.A, totalizando 7,73m² (sete inteiros e setenta e três centésimos de metro quadrados) de área utilizada.";"01/06/2016";"03/06/2016";"01/06/2016";"31/05/2021";"Não se Aplica";"";"200.010204/2014-14"
"CT-CT/20160157";"Senado Federal";"ONE LÍNEA TELECOM LTDA";"04.318.562/0001-39";"Contratação de empresa especializada para a prestação de serviços de suporte técnico, manutenção preventiva, corretiva, evolutiva, com fornecimento de peças originais e atualização de software para os equipamentos de rede Ethernet, fabricados pela Alcatel Lucent, de propriedade do SENADO FEDERAL, durante o período de 12 (doze) meses consecutivos.";"08/12/2016";"12/12/2016";"08/12/2016";"07/12/2021";"Pregão Eletrônico";"0001202016";"200.017073/2015-79"
"TE-TED/20160011";"Senado Federal";"PROCURADORIA-GERAL DA REPÚBLICA - PGR.";"26.989.715/0052-52";"Disponibilizar à Biblioteca da Procuradoria Geral da República - PGR/MPF - o Sistema de Gerenciamento da Informação da Rede Virtual de Bibliotecas do Senado Federal - RVBI - possibilitando a alimentação e atualização das bases de dados bibliográficos e administrativos, com informações de sua biblioteca, mediante utilização de equipamentos de processamento de dados de propriedade da Procuradoria Geral da República, ligados ao Sistema Central da Secretaria de Tecnologia da Informação do SENADO FEDERAL - PRDSTI/PRODASEN - localizado na cidade de Brasília - DF.";"08/12/2016";"09/12/2016";"08/12/2016";"07/12/2021";"Não se Aplica";"";"200.011916/2016-12"
"CT-CT/20160110";"Senado Federal";"RCS TECNOLOGIA LTDA.";"08.220.952/0001-22";"Contratação de empresa especializada para a prestação de serviços continuados e sob demanda, referentes à operação e manutenção preventiva e corretiva do Sistema Elétrico do Complexo Arquitetônico do SENADO FEDERAL, com operação de sistema informatizado de gerenciamento de manutenção e suprimento de insumos necessários à execução dos serviços, durante o período de 36 (trinta e seis) meses consecutivos.";"25/08/2016";"26/08/2016";"25/08/2016";"24/08/2021";"Pregão Eletrônico";"0000472016";"200.005025/2015-38"
"CT-CT/20160116";"Senado Federal";"RICOH BRASIL S.A.";"33.597.659/0001-26";"Contratação de empresa especializada para a prestação de serviços de impressão digital, por meio de disponibilidade e instalação de equipamentos novos - locação - de primeiro uso e em linha de produção, incluindo os serviços de manutenção, apoio e suporte técnico, software de gerenciamento, inventário e contabilização, fornecimento de peças, componentes e suprimentos necessários para seu funcionamento, exceto papel, para a Secretaria de Editoração e Publicações do SENADO FEDERAL - SEGRAF/SF - durante o período de 48 (quarenta e oito) meses consecutivos.";"01/09/2016";"05/09/2016";"01/09/2016";"21/11/2020";"Pregão Eletrônico";"0000832016";"200.000448/2016-42"
"CT-CT/20160047";"Senado Federal";"SCHNEIDER ELECTRICIT IT BRASIL INDÚSTRIA E COMÉRCIO DE EQUIPAMENTOS LTDA.";"07.108.509/0002-82";"Contratação de empresa especializada para o fornecimento de um (01) Sistema de Energia Ininterrupta, incluindo a prestação de serviços de manutenção on site (subitem 9 do item 1) durante o período de 60 (sessenta) meses consecutivos, composto por: nobreaks e baterias (item 1); grupo moto-geradores (item 2); painéis elétricos TTA (item 3); materiais complementares e serviços de instalação (item 4) para o SENADO FEDERAL.";"01/04/2016";"05/04/2016";"01/04/2016";"16/12/2021";"Pregão Eletrônico";"0000472016";"200.002435/2015-27"
"CN-AC/20160022";"Senado Federal";"SECRETARIA DE ESTADO DE CULTURA DO DISTRITO FEDERAL (SEC-DF)";"03.658.028/0001-09";"Estabelecer a cooperação técnica e cultural, na área de museologia, para o intercâmbio de conhecimentos, informações e experiências, promoção de atividades de natureza cultural, empréstimos de acervo e a capacitação de servidores, mediante a implementação de ações conjuntas, de apoio mútuo e de atividades complementares de interesse comum entre o SENADO FEDERAL/ILB e a Secretaria de Estado de Cultura do Distrito Federal - SEC-DF.";"16/11/2016";"18/11/2016";"16/11/2016";"15/11/2021";"Não se Aplica";"";"150.001665/2015-10"
"CN-CN/20160010";"Senado Federal";"SECRETARIA DE ESTADO DE SEGURANÇA PÚBLICA DO DF - SSP/DF";"00.394.718/0001-00";"Estabelecer a cooperação técnico-científica, cultural e o intercâmbio de conhecimentos, informações e experiências, visando à formação, ao aperfeiçoamento e à especialização técnica de recursos humanos, bem como ao desenvolvimento institucional, mediante a implementação de ações, programas, projetos e atividades complementares de interesse comum entre o SENADO FEDERAL/ILB e a Secretaria de Estado de Segurança Pública do Distrito Federal - SSP/DF.";"09/05/2016";"11/05/2016";"11/05/2016";"10/05/2021";"Não se Aplica";"";"200.010550/2015-75"
"CN-CN/20160006";"Senado Federal";"SERVIÇO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC - ADMINISTRAÇÃO REGIONAL";"03.296.968/0001-03";"Proporcionar aos estudantes regularmente matriculados e com frequência efetiva nos respectivos cursos de graduação da Faculdade de Tecnologia - mantida pelo Serviço Nacional de Aprendizagem Comercial - FAC-SENAC-DF - a oportunidade de realização de estágio remunerado no SENADO FEDERAL.";"28/04/2016";"21/06/2016";"28/04/2016";"27/04/2021";"Não se Aplica";"";"200.016458/2015-19"
"CT-CT/20160077";"Senado Federal";"SIMPRO PUBLICAÇÕES E TELEPROCESSAMENTO LTDA";"52.704.921/0001-39";"Contratação de empresa especializada para a prestação de serviços de cessão de uso de um sistema que forneça o serviço de consulta de preços de medicamentos, possibilitando a exportação desses dados para o banco de dados do Sistema de Operações de Apoio ao Sistema Integrado de Saúde - OASIS - de propriedade do SENADO FEDERAL, incluindo a prestação de manutenção e suporte técnico, durante o período de 12 (doze) meses consecutivos.";"09/06/2016";"13/06/2016";"09/06/2016";"08/06/2021";"Inexigibilidade";"";"200.015640/2014-71"
"CT-CT/20160167";"Senado Federal";"SOCIEDADE BENEFICENTE ISRAELITA BRASILEIRA - HOSPITAL ALBERT EINSTEIN";"60.765.823/0001-30";"Possibilitar a prestação de serviços médicos, ambulatoriais, hospitalares, em caráter eletivo, de urgência, de emergência, diagnósticos, terapia e maternidade, dentro da disponibilidade de vagas da CONTRATADA, aos Senadores e seus dependentes; ex-Senadores e respectivos cônjuges, assim como aos beneficiários inscritos do Sistema Integrado de Saúde do SENADO FEDERAL - SIS/SF - durante o período de 60 (sessenta) meses consecutivos.";"10/12/2016";"12/12/2016";"10/12/2016";"09/12/2021";"Inexigibilidade";"0000922016";"200.014680/2016-68"
"CT-CT/20160011";"Senado Federal";"SOS TECNOLOGIA E GESTÃO DA INFORMAÇÃO LTDA.";"04.744.134/0001-78";"Contratação de empresa especializada para o fornecimento de uma (01) Solução de Repositório Corporativo de Documentos Digitais, composto pelo fornecimento de licenças de uso e serviço de implantação de software, incluindo os seguintes serviços: de garantia de atualização e suporte técnico, pelo período de 30 (trinta) meses consecutivos; de migração de dados; de operação assistida, com limite de 10.000 (dez mil) Unidades de Serviço Técnico - UST - e de consultoria/mentoring, com limite de 3.000 (três mil) Unidades de Serviço Técnico de Consultoria - USTC - para a Secretaria de Tecnologia da Informação do SENADO FEDERAL - SEI/PRODASEN - SF.";"20/01/2016";"23/01/2016";"20/01/2016";"28/04/2021";"Pregão Eletrônico";"0001262015";"200.012920/2014-28"
"CT-CT/20160163";"Senado Federal";"SPM ENGENHARIA SS LTDA.";"93.711.133/0001-57";"Contratação de empresa especializada para a prestação de serviços de levantamentos, diagnósticos, estudos preliminares, anteprojetos com revisão e atualização dos projetos existentes, projetos executivos e acompanhamentos de obras com a realização de adequações necessárias aos projetos executivos existentes, para os Sistemas de Prevenção, Combate a Incêndio e Pânico, incluindo os de Acessibilidade e Segurança de Pessoa com Deficiência, no Complexo Arquitetônico do SENADO FEDERAL, durante o período de 72 (setenta e dois) meses consecutivos - LOTE 01.";"28/12/2016";"30/12/2016";"28/12/2016";"27/12/2022";"Concorrência";"0000012016";"200.007589/2010-09"
"TE-TED/20160009";"Senado Federal";"SUPERIOR TRIBUNAL DE JUSTIÇA - STJ";"00.488.478/0001-02";"Disponibilizar à Biblioteca do Superior Tribunal de Justiça - STJ - o Sistema de Gerenciamento da Informação da Rede Virtual de Bibliotecas do Senado Federal - RVBI - possibilitando a alimentação e atualização das bases de dados bibliográficos e administrativos, com informações de sua biblioteca, mediante utilização de equipamentos de processamento de dados de propriedade do Superior Tribunal de Justiça, ligados ao Sistema Central da Secretaria de Tecnologia da Informação do SENADO FEDERAL - PRDSTI/PRODASEN - localizado na cidade de Brasília - DF.";"28/11/2016";"30/11/2016";"28/11/2016";"27/11/2021";"Não se Aplica";"";"200.011440/2016-10"
"TE-TCO/20160013";"Senado Federal";"SUPERIOR TRIBUNAL DE JUSTIÇA - STJ";"00.488.478/0001-02";"Estabelecer a cooperação técnica entre o SENADO FEDERAL e o Superior Tribunal de Justiça - STJ - o Supremo Tribunal Federal - STF - o Tribunal Superior do Trabalho - TST - o Superior Tribunal Militar - STM - o Ministério Público Federal - MPF - o Tribunal Regional Federal da 1ª Região - TRF1 - o Tribunal Regional do Trabalho da 10ª Região - TRT10 - o Tribunal de Justiça do Distrito Federal e Territórios - TJDFT - e o Tribunal Regional Eleitoral do Distrito Federal - TRE-DF - visando a implementação de ações destinadas à otimização do processo de gestão dos Programas de Saúde de Assistência Indireta, mantidos pelos partícipes.";"03/12/2016";"22/02/2017";"03/12/2016";"02/12/2021";"Não se Aplica";"";"200.004116/2017-18"
"TE-TED/20160003";"Senado Federal";"SUPERIOR TRIBUNAL MILITAR - STM.";"00.497.560/0001-01";"Disponibilizar à Biblioteca do Superior Tribunal Militar - STM - o Sistema de Gerenciamento da Informação da Rede Virtual de Bibliotecas do Senado Federal - RVBI - possibilitando a alimentação e atualização das bases de dados bibliográficos e administrativos, com informações de sua biblioteca, mediante utilização de equipamentos de processamento de dados de propriedade do Superior Tribunal Militar, ligados ao Sistema Central da Secretaria de Tecnologia da Informação do SENADO FEDERAL - PRDSTI/PRODASEN - localizado na cidade de Brasília - DF.";"10/10/2016";"13/10/2016";"10/10/2016";"09/10/2021";"Não se Aplica";"";"200.012475/2016-68"
"PI-PI/20160001";"Senado Federal";"SUPREMO TRIBUNAL FEDERAL - STF";"00.531.640/0001-28";"Estabelecer parcerias nas questões relativas à Acessibilidade às Pessoas com Deficiências, visando à aplicação da legislação brasileira, das recomendações e normas técnicas referentes ao assunto em suas administrações.";"02/03/2016";"04/03/2016";"04/03/2016";"03/03/2021";"Não se Aplica";"";"200.011753/2015-89"
"TE-TED/20160004";"Senado Federal";"SUPREMO TRIBUNAL FEDERAL - STF";"00.531.640/0001-28";"Disponibilizar à Biblioteca do Supremo Tribunal Federal - STF - o Sistema de Gerenciamento da Informação da Rede Virtual de Bibliotecas do Senado Federal - RVBI - possibilitando a alimentação e atualização das bases de dados bibliográficos e administrativos, com informações de sua biblioteca, mediante utilização de equipamentos de processamento de dados de propriedade do Supremo Tribunal Federal, ligados ao Sistema Central da Secretaria de Tecnologia da Informação do SENADO FEDERAL - PRDSTI/PRODASEN - localizado na cidade de Brasília - DF.";"25/10/2016";"27/10/2016";"25/10/2016";"24/10/2021";"Não se Aplica";"";"200.018815/2015-83"
"CT-CT/20160009";"Senado Federal";"THYSSENKRUPP ELEVADORES S/A";"90.347.840/0006-22";"Contratação de empresa especializada para a prestação de serviços de substituição completa e de assistência técnica, incluindo os serviços de manutenção preventiva e corretiva, com fornecimento de peças e materiais novos e originais, em 04 (quatro) elevadores no Edifício Anexo I, 05 (cinco) elevadores no Edifício Anexo II e 01 (um) elevador no Edifício Principal do SENADO FEDERAL, durante o período de 60 (sessenta) meses consecutivos.";"20/01/2016";"22/01/2016";"20/01/2016";"19/01/2021";"Pregão Eletrônico";"0001222015";"200.015418/2014-79"
"CT-CT/20160009";"Senado Federal";"THYSSENKRUPP ELEVADORES S/A";"90.347.840/0006-22";"Contratação de empresa especializada para a prestação de serviços de substituição completa e de assistência técnica, incluindo os serviços de manutenção preventiva e corretiva, com fornecimento de peças e materiais novos e originais, em 04 (quatro) elevadores no Edifício Anexo I, 05 (cinco) elevadores no Edifício Anexo II e 01 (um) elevador no Edifício Principal do SENADO FEDERAL, durante o período de 60 (sessenta) meses consecutivos.";"20/01/2016";"22/01/2016";"20/01/2016";"19/01/2021";"Pregão Eletrônico";"0001222015";"200.015418/2014-79"
"CN-CN/20160004";"Senado Federal";"TRIBUNAL DE CONTAS DO DISTRITO FEDERAL - TC-DF.";"00.534.560/0001-26";"Estabelecer a cooperação técnico-científica e cultural e o intercâmbio de conhecimentos, informações e experiências, visando à formação, ao aperfeiçoamento e à especialização técnica de recursos humanos, bem como ao desenvolvimento institucional, mediante a implementação de ações, programas, projetos e atividades complementares de interesses comuns entre o SENADO FEDERAL/ILB e o Tribunal de Contas do Distrito Federal - TC-DF.";"29/03/2016";"31/03/2016";"31/03/2016";"30/03/2021";"Não se Aplica";"";"200.010853/2015-98"
"CN-AC/20160021";"Senado Federal";"TRIBUNAL DE CONTAS DO ESTADO DO RIO GRANDE DO SUL - TCE-RS.";"89.550.032/0001-74";"Cooperação dos partícipes na integração e atualização de informações de bases de dados da Secretaria de Tecnologia da Informação do SENADO FEDERAL - PRDSTI/PRODASEN e o Tribunal de Contas do  Estado do Rio Grande do Sul - TCE-RS, no Portal LexML Brasil, rede de informações jurídicas e legislativas com a finalidade unificar, organizar e facilitar o acesso às informações descritivas de legislação, jurisprudência, doutrina e proposições legislativas de órgãos da administração pública federal, estadual e municipal.";"26/09/2016";"29/09/2016";"29/09/2016";"28/09/2021";"Não se Aplica";"";"200.017096/2015-83"
"CN-CN/20160002";"Senado Federal";"TRIBUNAL DE JUSTIÇA DO ESTADO DO ACRE";"04.034.872/0001-21";"Estabelecer a cooperação técnico-científica, cultural e o intercâmbio de conhecimentos, informações e experiências, visando à formação, ao aperfeiçoamento e à especialização técnica de recursos humanos, bem como ao desenvolvimento institucional, mediante a implementação de ações, programas, projetos e atividades complementares de interesse comum entre o SENADO FEDERAL/ILB e o Tribunal de Justiça do Estado do Acre - TJ-AC.";"04/02/2016";"10/02/2016";"10/02/2016";"09/02/2021";"Não se Aplica";"";"200.015299/2015-35"
"CN-AC/20160013";"Senado Federal";"TRIBUNAL REGIONAL DO TRABALHO DA 8ª REGIÃO - TRT.";"01.547.343/0001-33";"Cooperação dos partícipes na integração e atualização de informações de bases de dados da Secretaria de Tecnologia da Informação do SENADO FEDERAL - PRODASEN/SF - e o Tribunal Regional do Trabalho da 8ª Região - TRT, no Portal LexML Brasil, rede de informações jurídicas e legislativas com a finalidade de unificar, organizar e facilitar o acesso às informações descritivas de legislação, jurisprudência, doutrina e proposições legislativas de órgãos da administração pública federal, estadual e municipal.";"13/07/2016";"15/07/2016";"15/07/2016";"14/07/2021";"Não se Aplica";"";"200.000129/2016-37"
"PI-PI/20160002";"Senado Federal";"TRIBUNAL REGIONAL ELEITORAL DO ESTADO DO ESPÍRITO SANTO - TRE-ES.";"03.910.634/0001-70";"Estabelecer a cooperação técnico-científica, cultural e o intercâmbio de conhecimentos, informações e experiências, visando à formação, ao aperfeiçoamento e à especialização técnica de recursos humanos, bem como ao desenvolvimento institucional, mediante a implementação de ações, programas, projetos e atividades complementares de interesses comuns entre o SENADO FEDERAL/ILB e o Tribunal Regional Eleitoral do Estado do Espírito Santo - TRE-ES.";"09/05/2016";"10/05/2016";"10/05/2016";"09/05/2021";"Não se Aplica";"";"200.015068/2015-21"
"TE-TED/20160005";"Senado Federal";"TRIBUNAL SUPERIOR DO TRABALHO - TST";"00.509.968/0001-48";"Disponibilizar à Biblioteca do Tribunal Superior do Trabalho - TST - o Sistema de Gerenciamento da Informação da Rede Virtual de Bibliotecas do Senado Federal - RVBI - possibilitando a alimentação e atualização das bases de dados bibliográficos e administrativos, com informações de sua biblioteca, mediante utilização de equipamentos de processamento de dados de propriedade do Tribunal Superior do Trabalho, ligados ao Sistema Central da Secretaria de Tecnologia da Informação do SENADO FEDERAL - PRDSTI/PRODASEN - localizado na cidade de Brasília - DF.";"10/11/2016";"11/11/2016";"10/11/2016";"09/11/2021";"Não se Aplica";"";"200.011599/2016-26"
"CS-CS/20160001";"Senado Federal";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE - UFRN.";"24.365.710/0001-83";"Compartilhamento, pelo SENADO FEDERAL, de área na torre da Rádio e TV Universitária, de propriedade da Universidade Federal do Rio Grande do Norte - UFRN - e área física adjacente, localizada na Rua da Torre, s/n, Bairro Tirol, na cidade de Natal-RN, de modo a viabilizar as retransmissões dos sinais da TV Senado, em UHF, canal 52, e da Rádio Senado FM, canal 295, frequência de transmissão 106,9 MHz, sem implicar em transferência direta ou indireta de propriedade.";"20/01/2016";"25/01/2017";"20/01/2016";"19/01/2021";"Inexigibilidade";"";"200.003848/2015-29"
"CT-CT/20160013";"Senado Federal";"VISUAL SISTEMAS ELETRÔNICOS LTDA";"23.921.349/0001-61";"Contratação de empresa especializada para a prestação de serviços de manutenção preventiva e corretiva, com o fornecimento de peças novas e originais, para o Sistema de Votação Eletrônica do SENADO FEDERAL - SVE/SF - durante o período de 12 (doze) meses consecutivos.";"25/01/2016";"";"25/01/2016";"24/01/2021";"Inexigibilidade";"";"200.003077/2015-70"
"CT-CT/20170067";"Senado Federal";"AMÉRICA TECNOLOGIA DE INFORMÁTICA E ELETRO-ELETRÔNICOS LTDA.";"06.926.223/0001-60";"Contratação de empresa especializada para a prestação de serviços de manutenção preventiva, corretiva e evolutiva, por meio de atualização de versões de microcódigo – firmware, com fornecimento de peças novas e originais, incluindo o suporte técnico para dois (02) Subsistemas de Armazenamento de Dados em Discos, de propriedade do SENADO FEDERAL, durante o período de 12 (doze) meses consecutivos.";"06/09/2017";"11/09/2017";"06/09/2017";"05/09/2021";"Pregão Eletrônico";"0000762017";"200.003991/2016-00"
"CT-CT/20170103";"Senado Federal";"ANDERSON MACEDO DA ROCHA - ME";"15.333.845/0001-76";"Contratação de empresa especializada para a prestação de serviços de audiodescrição, interpretação em LIBRAS - Língua Brasileira de Sinais - e legenda em tempo real para a Língua Portuguesa e vice-versa, sob demanda em eventos, outras atividades diversas e projetos institucionais do SENADO FEDERAL ou por ele promovidos ou apoiados dentro do Distrito Federal - DF - durante o período de 12 (doze) meses consecutivos. Item 4.";"24/11/2017";"29/11/2017";"24/11/2017";"23/11/2021";"Pregão Eletrônico";"0001192017";"200.015229/2017-49"
"CN-CNC/20170005";"Senado Federal";"BANCO DAYCOVAL S.A.";"62.232.889/0001-90";"Possibilitar ao CONVENIADO, respeitada a sua programação orçamentária e as suas normas operacionais, conceder cartão de crédito mediante disponibilização de limite a ser consignado em folha de pagamento aos senadores e aos servidores do SENADO FEDERAL.";"03/03/2017";"06/03/2017";"03/03/2017";"02/03/2021";"Não se Aplica";"";"200.015828/2015-09"
"TE-TCO/20170010";"Senado Federal";"BANCO DO BRASIL S.A.";"00.000.000/0001-91";"Regulamentar o estabelecimento dos critérios para abertura de Depósitos em Garantia Bloqueados para Movimentação - DGBM - pelo Banco do Brasil S.A, denominado BANCO, destinado a abrigar os recursos provisionados de rubricas constantes da planilha de custos e formação de preços dos contratos firmados pelo SENADO FEDERAL, denominado ADMINISTRAÇÃO PÚBLICA FEDERAL, bem como viabilizar o acesso da Administração Pública Federal aos saldos e extratos de todos os ""Eventos"".";"28/04/2017";"04/05/2017";"28/04/2017";"27/04/2021";"Não se Aplica";"";"200.003352/2017-17"
"CT-CT/20170102";"Senado Federal";"BOS SOLUÇÕES E SERVIÇOS LTDA - ME.";"21.777.585/0001-20";"Contratação de empresa especializada na prestação de serviços de audiodescrição, interpretação em LIBRAS - Língua Brasileira de Sinais - e legenda em tempo real para a Língua Portuguesa e vice-versa, sob demanda em eventos, outras atividades diversas e projetos institucionais do SENADO FEDERAL ou por ele promovidos ou apoiados dentro do Distrito Federal - DF - durante o período de 12 (doze) meses consecutivos. Grupo 1.";"27/11/2017";"30/11/2017";"27/11/2017";"26/11/2020";"Pregão Eletrônico";"0001192017";"200.015229/2017-49"
"CT-CT/20170049";"Senado Federal";"C & P SOLUÇÕES EM TELEMARKETING EIRELI - EPP";"09.267.699/0001-25";"Contratação de empresa especializada para a prestação de serviços na área de operação do Serviço de Relacionamento Público - Alô Senado (Contact Center) e outras atividades correlatas, com a disponibilização de mão de obra qualificada, para a Ouvidoria do SENADO FEDERAL - OUVIDSF/CORCID - durante o período de 12 (doze) meses consecutivos.";"14/07/2017";"17/07/2017";"14/07/2017";"13/07/2021";"Pregão Eletrônico";"0000662017";"200.003651/2017-51"
"CN-CN/20170004";"Senado Federal";"CÂMARA DOS DEPUTADOS - CD.";"00.530.352/0001-59";"Tornar disponível à Câmara dos Deputados - CD - o Sistema Informatizado de Gerenciamento de Bibliotecas do SENADO FEDERAL, possibilitando a alimentação e atualização de bases de dados bibliográficos e administrativos, com informações de sua biblioteca, mediante a utilização de equipamentos de processamento de dados de sua propriedade, ligados ao Sistema Central da Secretaria de Tecnologia da Informação PRODASEN do Senado Federal - PRDSTI - localizado em Brasília - DF.";"17/02/2017";"24/02/2017";"17/02/2017";"16/02/2022";"Não se Aplica";"";"200.011570/2016-44"
"CN-AC/20170026";"Senado Federal";"CÂMARA DOS DEPUTADOS - CD.";"00.530.352/0001-59";"Estabelecer a cooperação técnica entre o SENADO FEDERAL, a Câmara dos Deputados - CD, o Supremo Tribunal Federal - STF, o Tribunal de Contas da União - TCU, o Superior Tribunal de Justiça - STJ, o Tribunal Superior do Trabalho - TST, e o Tribunal de Justiça do Distrito Federal e Territórios - TJDFT, no âmbito da acessibilidade e da inclusão social da pessoa com deficiência.";"14/12/2017";"14/12/2017";"14/12/2017";"13/12/2022";"Não se Aplica";"";"200.027258/2017-53"
